last_situations
"{'p1': ('white', 'DONE', 0.5, 8.848056), 'p2': ('black', 'DONE', 0.5, 8.707520999999996)}"
"{'p1': ('white', 'DONE', 0.5, 9.720555000000003), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 9.050925), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.333849999999996), 'p2': ('black', 'DONE', 0.5, 9.706421999999995)}"
"{'p1': ('white', 'DONE', 0.5, 8.618889000000001), 'p2': ('black', 'DONE', 0.5, 9.989844)}"
"{'p1': ('white', 'DONE', 1, 9.639880999999999), 'p2': ('black', 'DONE', 0, 9.863892000000002)}"
"{'p1': ('white', 'DONE', 0.5, 7.469339999999997), 'p2': ('black', 'DONE', 0.5, 2.9701809999999997)}"
"{'p1': ('white', 'DONE', 0.5, 7.755745), 'p2': ('black', 'DONE', 0.5, 7.7562370000000005)}"
"{'p1': ('white', 'DONE', 0, 8.923029000000005), 'p2': ('black', 'DONE', 1, 8.955758999999997)}"
"{'p1': ('white', 'DONE', 0, 9.112477999999998), 'p2': ('black', 'DONE', 1, 8.144641999999996)}"
"{'p1': ('white', 'DONE', 0, 9.273371999999998), 'p2': ('black', 'DONE', 1, 8.773621999999998)}"
"{'p1': ('white', 'DONE', 0, 8.635458), 'p2': ('black', 'DONE', 1, 6.739408000000003)}"
"{'p1': ('white', 'DONE', 0.5, 9.579881), 'p2': ('black', 'DONE', 0.5, 9.290113000000002)}"
"{'p1': ('white', 'DONE', 0.5, 9.606054), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 0.5, 8.744614000000002), 'p2': ('black', 'DONE', 0.5, 10)}"
"{'p1': ('white', 'DONE', 1, 6.627138000000003), 'p2': ('black', 'DONE', 0, 0.8111250000000005)}"
"{'p1': ('white', 'DONE', 0.5, 6.881671999999999), 'p2': ('black', 'DONE', 0.5, 8.357241999999998)}"
"{'p1': ('white', 'DONE', 0.5, 8.021577), 'p2': ('black', 'DONE', 0.5, 10)}"
